DDCTransactionIdB35A9A6C4CAF39CCECD061BB02EAFC8E_13, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM5_3__BC5N_DEV_SL_NoDBufED9A9085__6CDBC5D52F47BF08934D4F01FCC716E20F6A094B, StartTime=2015.10.26-13.51.22, HierarchicalDDC, DataSize=27401 bytes, Retrieved=true, Duration=0.036746ms, RunGuid=RunIDB7A0A84B4745BA9048D56EACEFFD3A2E
DDCTransactionIdB35A9A6C4CAF39CCECD061BB02EAFC8E_14, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM4_3__BC5N_DEV_SL_NoDBufED9A9085__B47EE8B2D597F86D3C53961C6B7DA58E4033BABF, StartTime=2015.10.26-13.51.22, HierarchicalDDC, DataSize=20272 bytes, Retrieved=true, Duration=0.117861ms, RunGuid=RunIDB7A0A84B4745BA9048D56EACEFFD3A2E
DDCTransactionIdB35A9A6C4CAF39CCECD061BB02EAFC8E_15, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM5_3__BC5N_DEV_SL_NoDBufED9A9085__F9C741C33AE83ACDCE92A59BCAEB4C89BB03F1E0, StartTime=2015.10.26-13.51.22, HierarchicalDDC, DataSize=18645 bytes, Retrieved=true, Duration=0.034429ms, RunGuid=RunIDB7A0A84B4745BA9048D56EACEFFD3A2E
DDCTransactionIdB35A9A6C4CAF39CCECD061BB02EAFC8E_16, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM4_3__BC5N_DEV_SL_NoDBufED9A9085__33390D3EE9D7EAE85E005AA887A98A1CFB42A306, StartTime=2015.10.26-13.51.22, HierarchicalDDC, DataSize=11827 bytes, Retrieved=true, Duration=12.298595ms, RunGuid=RunIDB7A0A84B4745BA9048D56EACEFFD3A2E
DDCTransactionIdB35A9A6C4CAF39CCECD061BB02EAFC8E_17, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM5_3__BC5N_DEV_SL_NoDBufED9A9085__12646B186A5F8067991F14F06B743B5A3FE20E69, StartTime=2015.10.26-13.51.22, HierarchicalDDC, DataSize=38327 bytes, Retrieved=true, Duration=0.050321ms, RunGuid=RunIDB7A0A84B4745BA9048D56EACEFFD3A2E
DDCTransactionIdB35A9A6C4CAF39CCECD061BB02EAFC8E_18, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM4_3__BC5N_DEV_SL_NoDBufED9A9085__F3E4FF6050A5B18A1763C9645723AE6228DED35E, StartTime=2015.10.26-13.51.22, HierarchicalDDC, DataSize=31142 bytes, Retrieved=true, Duration=0.150967ms, RunGuid=RunIDB7A0A84B4745BA9048D56EACEFFD3A2E
DDCTransactionIdB35A9A6C4CAF39CCECD061BB02EAFC8E_19, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM5_3__BC5N_DEV_SL_NoDBufED9A9085__6DFD6A9743F9754A1517BAA869C5D847C1C98B25, StartTime=2015.10.26-13.51.22, HierarchicalDDC, DataSize=37776 bytes, Retrieved=true, Duration=0.035092ms, RunGuid=RunIDB7A0A84B4745BA9048D56EACEFFD3A2E
DDCTransactionIdB35A9A6C4CAF39CCECD061BB02EAFC8E_20, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM4_3__BC5N_DEV_SL_NoDBufED9A9085__0114BEE7C227E9C8B23DC2CBDDB49DE1A01656FB, StartTime=2015.10.26-13.51.22, HierarchicalDDC, DataSize=30886 bytes, Retrieved=true, Duration=9.221964ms, RunGuid=RunIDB7A0A84B4745BA9048D56EACEFFD3A2E
DDCTransactionIdB35A9A6C4CAF39CCECD061BB02EAFC8E_21, GetCachedData, CacheKey=STATICMESH_46A8778361B442A9523C54440EA1E9D_8C68575CEF434CA8A9E1DA4AED8A47BB_21__27332BED7EEB4BCFC645A8495DBDD296BC92845C, StartTime=2015.10.26-13.51.22, HierarchicalDDC, DataSize=36762 bytes, Retrieved=true, Duration=0.038736ms, RunGuid=RunIDB7A0A84B4745BA9048D56EACEFFD3A2E
DDCTransactionIdB35A9A6C4CAF39CCECD061BB02EAFC8E_22, GetCachedData, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_572BACBB4C0F7A7E5__3E548DD4356165E327B3FDBD52328D445BA9E3FF, StartTime=2015.10.26-13.51.22, HierarchicalDDC, DataSize=5894 bytes, Retrieved=true, Duration=0.029795ms, RunGuid=RunIDB7A0A84B4745BA9048D56EACEFFD3A2E
DDCTransactionIdB35A9A6C4CAF39CCECD061BB02EAFC8E_23, GetCachedData, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_572BACBB4C0F7A7E5E958FB3CA3C35D__C2850DB5A2961110725E32467314D7B18AB25CB6, StartTime=2015.10.26-13.51.22, HierarchicalDDC, DataSize=15253 bytes, Retrieved=true, Duration=0.035424ms, RunGuid=RunIDB7A0A84B4745BA9048D56EACEFFD3A2E
DDCTransactionIdB35A9A6C4CAF39CCECD061BB02EAFC8E_24, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM5_3__BC5N_DEV_SL_NoDBufAC9EF829__0CC90BCC7CB3BEC77CF32C4DD5F1EE3BC2A21964, StartTime=2015.10.26-13.51.22, HierarchicalDDC, DataSize=157804 bytes, Retrieved=true, Duration=0.083428ms, RunGuid=RunIDB7A0A84B4745BA9048D56EACEFFD3A2E
DDCTransactionIdB35A9A6C4CAF39CCECD061BB02EAFC8E_25, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM4_3__BC5N_DEV_SL_NoDBufAC9EF829__078DC3A2CA456C68285493BF0B4FE5E514CD60D0, StartTime=2015.10.26-13.51.22, HierarchicalDDC, DataSize=116636 bytes, Retrieved=true, Duration=33.759232ms, RunGuid=RunIDB7A0A84B4745BA9048D56EACEFFD3A2E
DDCTransactionIdB35A9A6C4CAF39CCECD061BB02EAFC8E_26, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM5_3__BC5N_DEV_SL_NoDBufA65D8BFD__CF4177CAB09C8B8AA41DB921825871BDA6D04EE5, StartTime=2015.10.26-13.51.22, HierarchicalDDC, DataSize=675243 bytes, Retrieved=true, Duration=0.339676ms, RunGuid=RunIDB7A0A84B4745BA9048D56EACEFFD3A2E
DDCTransactionIdB35A9A6C4CAF39CCECD061BB02EAFC8E_27, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM4_3__BC5N_DEV_SL_NoDBufA65D8BFD__2743960A903FCC6C318FC02A3A8EC2FC1F9C6A61, StartTime=2015.10.26-13.51.22, HierarchicalDDC, DataSize=496359 bytes, Retrieved=true, Duration=12.787256ms, RunGuid=RunIDB7A0A84B4745BA9048D56EACEFFD3A2E
DDCTransactionIdB35A9A6C4CAF39CCECD061BB02EAFC8E_28, GetCachedData, CacheKey=STATICMESH_46A8778361B442A9523C54440EA1E9D_8C68575CEF434CA8A9E1DA4AED8A47BB_D8__AB7440EC4758A80E781CBED1E2F4D9CABBC9ECB2, StartTime=2015.10.26-13.51.22, HierarchicalDDC, DataSize=15569 bytes, Retrieved=true, Duration=0.032444ms, RunGuid=RunIDB7A0A84B4745BA9048D56EACEFFD3A2E
DDCTransactionIdB35A9A6C4CAF39CCECD061BB02EAFC8E_29, GetCachedData, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_0B92E78C4DB1EF7D0C58D2A05F1E4C3__0A0B313B1A847E9E2D62BADAF19988370A263D03, StartTime=2015.10.26-13.51.22, HierarchicalDDC, DataSize=5412 bytes, Retrieved=true, Duration=0.030130ms, RunGuid=RunIDB7A0A84B4745BA9048D56EACEFFD3A2E
DDCTransactionIdB35A9A6C4CAF39CCECD061BB02EAFC8E_30, GetCachedData, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_0B92E78C4DB1EF7D0__37187FC2FA1D1A6D05AD3EE83DD7C240C6A96004, StartTime=2015.10.26-13.51.22, HierarchicalDDC, DataSize=393 bytes, Retrieved=true, Duration=0.028800ms, RunGuid=RunIDB7A0A84B4745BA9048D56EACEFFD3A2E
DDCTransactionIdB35A9A6C4CAF39CCECD061BB02EAFC8E_31, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM5_3__BC5N_DEV_SL_NoDBufE8B62895__7CE540618F16C1742A6B372D7D410596BEC4298C, StartTime=2015.10.26-13.51.24, HierarchicalDDC, DataSize=36505 bytes, Retrieved=true, Duration=0.037409ms, RunGuid=RunIDB7A0A84B4745BA9048D56EACEFFD3A2E
DDCTransactionIdB35A9A6C4CAF39CCECD061BB02EAFC8E_32, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM4_3__BC5N_DEV_SL_NoDBufE8B62895__50059E49289336632224F79233E6B0D0B6B652F9, StartTime=2015.10.26-13.51.24, HierarchicalDDC, DataSize=29773 bytes, Retrieved=true, Duration=17.993008ms, RunGuid=RunIDB7A0A84B4745BA9048D56EACEFFD3A2E
DDCTransactionIdB35A9A6C4CAF39CCECD061BB02EAFC8E_33, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM5_3__BC5N_DEV_SL_NoDBufE8B62895__D4D027FDE1F15C75688FFDC75902FC0FA6A5EB48, StartTime=2015.10.26-13.51.24, HierarchicalDDC, DataSize=26619 bytes, Retrieved=true, Duration=0.043038ms, RunGuid=RunIDB7A0A84B4745BA9048D56EACEFFD3A2E
DDCTransactionIdB35A9A6C4CAF39CCECD061BB02EAFC8E_34, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM4_3__BC5N_DEV_SL_NoDBufE8B62895__7E3051FB98BDA4FA599EF0C13194730278E987F8, StartTime=2015.10.26-13.51.24, HierarchicalDDC, DataSize=19943 bytes, Retrieved=true, Duration=0.114549ms, RunGuid=RunIDB7A0A84B4745BA9048D56EACEFFD3A2E
DDCTransactionIdB35A9A6C4CAF39CCECD061BB02EAFC8E_35, GetCachedData, CacheKey=STATICMESH_46A8778361B442A9523C54440EA1E9D_8C68575CEF434CA8A9E1DA4AED8A47BB_3A__4F5CE07281C38A268DE45F7FA423F88D7B0AE129, StartTime=2015.10.26-13.51.24, HierarchicalDDC, DataSize=65201 bytes, Retrieved=true, Duration=0.041384ms, RunGuid=RunIDB7A0A84B4745BA9048D56EACEFFD3A2E
DDCTransactionIdB35A9A6C4CAF39CCECD061BB02EAFC8E_36, GetCachedData, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_61C171EA46E0571C62DF3480217B91D__F4C26B03894151ACF24F74C71F892F72BBAAD999, StartTime=2015.10.26-13.51.24, HierarchicalDDC, DataSize=12598 bytes, Retrieved=true, Duration=0.030790ms, RunGuid=RunIDB7A0A84B4745BA9048D56EACEFFD3A2E
DDCTransactionIdB35A9A6C4CAF39CCECD061BB02EAFC8E_37, GetCachedData, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_61C171EA46E0571C6__EF9CDC3B6887C3D0D2556BBCF93DC456088AB47A, StartTime=2015.10.26-13.51.24, HierarchicalDDC, DataSize=829 bytes, Retrieved=true, Duration=0.029132ms, RunGuid=RunIDB7A0A84B4745BA9048D56EACEFFD3A2E
DDCTransactionIdB35A9A6C4CAF39CCECD061BB02EAFC8E_38, GetCachedData, CacheKey=STATICMESH_46A8778361B442A9523C54440EA1E9D_8C68575CEF434CA8A9E1DA4AED8A47BB_D9__9DF8CCE0ED0B79F38E697746DF45AE6BF69F68C8, StartTime=2015.10.26-13.51.24, HierarchicalDDC, DataSize=253937 bytes, Retrieved=true, Duration=0.142358ms, RunGuid=RunIDB7A0A84B4745BA9048D56EACEFFD3A2E
DDCTransactionIdB35A9A6C4CAF39CCECD061BB02EAFC8E_39, GetCachedData, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_018CC2044C5CC807DA3B60B8907DBC4__AAD08D1B3C1D13C8BC491943C640F4DAAFF0B040, StartTime=2015.10.26-13.51.24, HierarchicalDDC, DataSize=6406 bytes, Retrieved=true, Duration=0.029795ms, RunGuid=RunIDB7A0A84B4745BA9048D56EACEFFD3A2E
DDCTransactionIdB35A9A6C4CAF39CCECD061BB02EAFC8E_40, GetCachedData, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_018CC2044C5CC807D__7A3DC7B4FEFB46D3D4261913D0871F84ED6210BF, StartTime=2015.10.26-13.51.24, HierarchicalDDC, DataSize=829 bytes, Retrieved=true, Duration=0.028472ms, RunGuid=RunIDB7A0A84B4745BA9048D56EACEFFD3A2E
DDCTransactionIdB35A9A6C4CAF39CCECD061BB02EAFC8E_41, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM5_3__BC5N_DEV_SL_NoDBuf13D2B0DF__8241B743BD7302879AF896EADF9D64D70AAB63D0, StartTime=2015.10.26-13.51.24, HierarchicalDDC, DataSize=92504 bytes, Retrieved=true, Duration=0.049993ms, RunGuid=RunIDB7A0A84B4745BA9048D56EACEFFD3A2E
DDCTransactionIdB35A9A6C4CAF39CCECD061BB02EAFC8E_42, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM4_3__BC5N_DEV_SL_NoDBuf13D2B0DF__56CA7C62E20C758D69F0DD0A4FBA588E9B8501DA, StartTime=2015.10.26-13.51.24, HierarchicalDDC, DataSize=60866 bytes, Retrieved=true, Duration=36.915657ms, RunGuid=RunIDB7A0A84B4745BA9048D56EACEFFD3A2E
DDCTransactionIdB35A9A6C4CAF39CCECD061BB02EAFC8E_43, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM5_3__BC5N_DEV_SL_NoDBuf8AE21826__D926AEA668CEC3AFF391A9B606B6207F28E14495, StartTime=2015.10.26-13.51.25, HierarchicalDDC, DataSize=20394 bytes, Retrieved=true, Duration=0.045355ms, RunGuid=RunIDB7A0A84B4745BA9048D56EACEFFD3A2E
